round,date,home_team,away_team,home_score,away_score,stadium,stage
7,05/11/2019,Örgryte IS FF,Jönköpings Södra IF,1,1,Gamla Ullevi,
7,05/12/2019,Östers IF,Västerås SK FK,0,0,Myresjöhus Arena 1,
7,05/12/2019,Syrianska FC,Mjällby AIF,1,2,Södertälje Fotbollsarena,
7,05/12/2019,IK Brage,Norrby IF,0,0,Domnarvsvallen,
8,05/14/2019,Halmstad,GAIS,1,2,Örjans Vall,
8,05/15/2019,Mjällby AIF,Trelleborgs FF,2,1,Strandvallen A-plan,
8,05/15/2019,IK Frej Täby,IF Brommapojkarna,1,1,Vikingavallen/Täby IP 1,
8,05/15/2019,Örgryte IS FF,Varbergs BoIS FC,1,1,Gamla Ullevi,
8,05/16/2019,Dalkurd,IK Brage,1,3,Gavlevallen,
8,05/16/2019,Jönköpings Södra IF,Östers IF,2,0,Stadsparksvallen,
8,05/16/2019,Degerfors IF,Norrby IF,0,0,Stora Valla,
8,05/16/2019,Västerås SK FK,Syrianska FC,0,0,Solid Park Arena,
9,05/18/2019,Varbergs BoIS FC,Halmstad,1,0,Påskbergsvallen A,
9,05/19/2019,Trelleborgs FF,Örgryte IS FF,2,1,"Vångavallen, Trelleborg A-plan",
9,05/19/2019,Norrby IF,IK Frej Täby,3,0,Borås Arena,
9,05/19/2019,Östers IF,Mjällby AIF,0,1,Myresjöhus Arena 1,
9,05/20/2019,IK Brage,Syrianska FC,1,0,Domnarvsvallen,
9,05/20/2019,IF Brommapojkarna,Jönköpings Södra IF,0,2,Grimsta IP 1,
9,05/21/2019,GAIS,Västerås SK FK,1,1,Gamla Ullevi,
9,05/21/2019,Degerfors IF,Dalkurd,1,2,Stora Valla,
10,05/25/2019,Syrianska FC,IF Brommapojkarna,1,0,Södertälje Fotbollsarena,
10,05/25/2019,Halmstad,Degerfors IF,3,0,Örjans Vall,
10,05/25/2019,IK Frej Täby,Varbergs BoIS FC,1,1,Vikingavallen/Täby IP 1,
10,05/25/2019,Jönköpings Södra IF,IK Brage,2,0,Stadsparksvallen,
10,05/26/2019,Mjällby AIF,GAIS,2,0,Strandvallen A-plan,
10,05/26/2019,Trelleborgs FF,Östers IF,1,1,"Vångavallen, Trelleborg A-plan",
10,05/27/2019,Västerås SK FK,Norrby IF,1,3,Solid Park Arena,
10,05/28/2019,Dalkurd,Örgryte IS FF,3,2,Gavlevallen,
11,06/01/2019,Mjällby AIF,Jönköpings Södra IF,1,0,Strandvallen A-plan,
11,06/01/2019,Norrby IF,Dalkurd,0,0,Borås Arena,
11,06/01/2019,Degerfors IF,IK Frej Täby,2,3,Stora Valla,
11,06/01/2019,Halmstad,Västerås SK FK,0,0,Örjans Vall,
11,06/02/2019,Varbergs BoIS FC,GAIS,2,1,Påskbergsvallen A,
11,06/02/2019,IF Brommapojkarna,Trelleborgs FF,2,3,Grimsta IP 1,
11,06/03/2019,Östers IF,IK Brage,2,2,Myresjöhus Arena 1,
11,06/04/2019,Örgryte IS FF,Syrianska FC,2,0,Gamla Ullevi,
12,06/08/2019,IF Brommapojkarna,Mjällby AIF,1,1,Grimsta IP 1,
12,06/08/2019,Västerås SK FK,IK Frej Täby,2,0,Solid Park Arena,
12,06/08/2019,Trelleborgs FF,Degerfors IF,0,0,"Vångavallen, Trelleborg A-plan",
12,06/09/2019,Dalkurd,Halmstad,1,0,Gavlevallen,
12,06/11/2019,IK Brage,Örgryte IS FF,0,1,Domnarvsvallen,
12,06/19/2019,Jönköpings Södra IF,Varbergs BoIS FC,3,1,Stadsparksvallen,
12,07/24/2019,GAIS,Norrby IF,1,0,Gamla Ullevi,
12,07/31/2019,Syrianska FC,Östers IF,1,1,Södertälje Fotbollsarena,
13,06/14/2019,Syrianska FC,Jönköpings Södra IF,2,1,Södertälje Fotbollsarena,
13,06/15/2019,Varbergs BoIS FC,Norrby IF,3,2,Påskbergsvallen A,
13,06/15/2019,Östers IF,IF Brommapojkarna,2,2,Myresjöhus Arena 1,
13,06/15/2019,IK Frej Täby,Dalkurd,1,3,Vikingavallen/Täby IP 1,
13,06/15/2019,IK Brage,Trelleborgs FF,2,0,Domnarvsvallen,
13,06/15/2019,Degerfors IF,Västerås SK FK,3,2,Stora Valla,
13,06/16/2019,Halmstad,Mjällby AIF,2,0,Örjans Vall,
13,06/17/2019,Örgryte IS FF,GAIS,1,0,Gamla Ullevi,
14,06/23/2019,Mjällby AIF,IK Brage,1,2,Strandvallen A-plan,
14,06/23/2019,Jönköpings Södra IF,Trelleborgs FF,2,0,Stadsparksvallen,
14,06/23/2019,IF Brommapojkarna,Örgryte IS FF,0,0,Grimsta IP 1,
14,06/23/2019,Halmstad,IK Frej Täby,4,1,Örjans Vall,
14,06/24/2019,Norrby IF,Syrianska FC,3,2,Borås Arena,
14,06/24/2019,GAIS,Degerfors IF,0,3,Gamla Ullevi,
14,06/24/2019,Östers IF,Varbergs BoIS FC,1,1,Myresjöhus Arena 1,
